#,no,name,laps,lead,lap_time,speed,elapsed_time,passing_time,hits,strength,noice,photocell_time,transponder,backup_tx,backup_passing_time,class,deleted
1,,Warmup Flag,,,,,,9:51:08.313,,,,,,,,,
2,,Green Flag,,,,,0.000,10:02:14.585,,,,,,,,,
90,4.0,SMK Racing Renault Clio,8.0,8.0,1:07.618,114'5,9:21.078,10:11:35.663,134.0,171.0,9.0,,7622978.0,0.0,,R1,No
91,6.0,SPEeD S60 Racing Team S60 Challange,8.0,8.0,1:07.769,114'2,9:43.083,10:11:57.668,91.0,145.0,6.0,,4800537.0,0.0,,R2,No
92,99997.0,clio helvit N/N,8.0,8.0,1:08.067,113'7,9:43.779,10:11:58.364,128.0,167.0,6.0,,641641.0,0.0,,GT Open,No
93,86.0,clio 86,8.0,8.0,1:07.833,114'1,9:47.581,10:12:02.166,135.0,165.0,6.0,,7722174.0,0.0,,GT Open,No
94,3.0,Team Häsen Racing Sweden VW Polo,8.0,8.0,1:11.205,108'7,9:54.138,10:12:08.723,87.0,144.0,6.0,,9515691.0,0.0,,R1,No
95,2.0,Team Skeppsbrons BMW M3 E36,8.0,8.0,1:08.846,112'4,9:55.060,10:12:09.645,140.0,161.0,6.0,,4867808.0,0.0,,R1,No
96,44.0,Tommes Pack Seat Leon,9.0,9.0,1:05.326,118'5,10:23.804,10:12:38.389,147.0,178.0,19.0,,9788538.0,0.0,,R2,No
97,30.0,Team Gävlarna Clio ,9.0,9.0,1:07.133,115'3,10:26.644,10:12:41.229,119.0,159.0,19.0,,3289056.0,0.0,,R1,No
98,27.0,B.E.T BMW 330,9.0,9.0,1:07.727,114'3,10:28.343,10:12:42.928,102.0,152.0,19.0,,7493526.0,0.0,,R1,No
99,4.0,SMK Racing Renault Clio,9.0,9.0,1:07.790,114'2,10:28.868,10:12:43.453,145.0,171.0,19.0,,7622978.0,0.0,,R1,No
100,6.0,SPEeD S60 Racing Team S60 Challange,9.0,9.0,1:07.388,114'9,10:50.471,10:13:05.056,89.0,142.0,19.0,,4800537.0,0.0,,R2,No
101,99997.0,clio helvit N/N,9.0,9.0,1:07.597,114'5,10:51.376,10:13:05.961,122.0,165.0,19.0,,641641.0,0.0,,GT Open,No
102,86.0,clio 86,9.0,9.0,1:06.884,115'7,10:54.465,10:13:09.050,135.0,165.0,19.0,,7722174.0,0.0,,GT Open,No
103,3.0,Team Häsen Racing Sweden VW Polo,9.0,9.0,1:10.596,109'6,11:04.734,10:13:19.319,94.0,145.0,19.0,,9515691.0,0.0,,R1,No
104,2.0,Team Skeppsbrons BMW M3 E36,9.0,9.0,1:09.935,110'7,11:04.995,10:13:19.580,131.0,159.0,19.0,,4867808.0,0.0,,R1,No
105,44.0,Tommes Pack Seat Leon,10.0,10.0,1:05.102,118'9,11:28.906,10:13:43.491,144.0,178.0,3.0,,9788538.0,0.0,,R2,No
106,30.0,Team Gävlarna Clio ,10.0,10.0,1:07.383,114'9,11:34.027,10:13:48.612,118.0,160.0,3.0,,3289056.0,0.0,,R1,No
107,27.0,B.E.T BMW 330,10.0,10.0,1:07.328,115'0,11:35.671,10:13:50.256,100.0,153.0,3.0,,7493526.0,0.0,,R1,No
108,4.0,SMK Racing Renault Clio,10.0,10.0,1:07.572,114'5,11:36.440,10:13:51.025,139.0,174.0,3.0,,7622978.0,0.0,,R1,No
109,6.0,SPEeD S60 Racing Team S60 Challange,10.0,10.0,1:07.287,115'0,11:57.758,10:14:12.343,89.0,144.0,3.0,,4800537.0,0.0,,R2,No
110,99997.0,clio helvit N/N,10.0,10.0,1:06.982,115'6,11:58.358,10:14:12.943,126.0,167.0,3.0,,641641.0,0.0,,GT Open,No
111,86.0,clio 86,10.0,10.0,1:07.292,115'0,12:01.757,10:14:16.342,136.0,165.0,3.0,,7722174.0,0.0,,GT Open,No
112,2.0,Team Skeppsbrons BMW M3 E36,10.0,10.0,1:09.610,111'2,12:14.605,10:14:29.190,136.0,161.0,3.0,,4867808.0,0.0,,R1,No
113,3.0,Team Häsen Racing Sweden VW Polo,10.0,10.0,1:10.989,109'0,12:15.723,10:14:30.308,95.0,146.0,3.0,,9515691.0,0.0,,R1,No
114,44.0,Tommes Pack Seat Leon,11.0,11.0,1:08.097,113'7,12:37.003,10:14:51.588,142.0,178.0,7.0,,9788538.0,0.0,,R2,No
115,30.0,Team Gävlarna Clio ,11.0,11.0,1:07.887,114'0,12:41.914,10:14:56.499,127.0,163.0,7.0,,3289056.0,0.0,,R1,No
116,27.0,B.E.T BMW 330,11.0,11.0,1:07.409,114'8,12:43.080,10:14:57.665,95.0,153.0,7.0,,7493526.0,0.0,,R1,No
117,4.0,SMK Racing Renault Clio,11.0,11.0,1:07.470,114'7,12:43.910,10:14:58.495,140.0,172.0,7.0,,7622978.0,0.0,,R1,No
118,6.0,SPEeD S60 Racing Team S60 Challange,11.0,11.0,1:06.978,115'6,13:04.736,10:15:19.321,89.0,144.0,7.0,,4800537.0,0.0,,R2,No
119,99997.0,clio helvit N/N,11.0,11.0,1:06.722,116'0,13:05.080,10:15:19.665,132.0,168.0,7.0,,641641.0,0.0,,GT Open,No
120,86.0,clio 86,11.0,11.0,1:07.196,115'2,13:08.953,10:15:23.538,132.0,161.0,7.0,,7722174.0,0.0,,GT Open,No
121,2.0,Team Skeppsbrons BMW M3 E36,11.0,11.0,1:09.226,111'8,13:23.831,10:15:38.416,137.0,160.0,3.0,,4867808.0,0.0,,R1,No
122,3.0,Team Häsen Racing Sweden VW Polo,11.0,11.0,1:11.138,108'8,13:26.861,10:15:41.446,89.0,145.0,3.0,,9515691.0,0.0,,R1,No
123,44.0,Tommes Pack Seat Leon,12.0,12.0,1:05.569,118'0,13:42.572,10:15:57.157,148.0,179.0,3.0,,9788538.0,0.0,,R2,No
124,30.0,Team Gävlarna Clio ,12.0,12.0,1:07.499,114'7,13:49.413,10:16:03.998,118.0,161.0,3.0,,3289056.0,0.0,,R1,No
125,27.0,B.E.T BMW 330,12.0,12.0,1:09.514,111'3,13:52.594,10:16:07.179,94.0,152.0,3.0,,7493526.0,0.0,,R1,No
126,4.0,SMK Racing Renault Clio,12.0,12.0,1:09.466,111'4,13:53.376,10:16:07.961,135.0,174.0,3.0,,7622978.0,0.0,,R1,No
127,99997.0,clio helvit N/N,12.0,12.0,1:07.558,114'6,14:12.638,10:16:27.223,127.0,166.0,3.0,,641641.0,0.0,,GT Open,No
128,6.0,SPEeD S60 Racing Team S60 Challange,12.0,12.0,1:08.802,112'5,14:13.538,10:16:28.123,93.0,145.0,3.0,,4800537.0,0.0,,R2,No
129,86.0,clio 86,12.0,12.0,1:07.160,115'2,14:16.113,10:16:30.698,136.0,164.0,3.0,,7722174.0,0.0,,GT Open,No
130,2.0,Team Skeppsbrons BMW M3 E36,12.0,12.0,1:09.738,111'0,14:33.569,10:16:48.154,125.0,154.0,3.0,,4867808.0,0.0,,R1,No
131,3.0,Team Häsen Racing Sweden VW Polo,12.0,12.0,1:10.550,109'7,14:37.411,10:16:51.996,84.0,143.0,3.0,,9515691.0,0.0,,R1,No
132,44.0,Tommes Pack Seat Leon,13.0,13.0,1:05.377,118'4,14:47.949,10:17:02.534,147.0,179.0,3.0,,9788538.0,0.0,,R2,No
133,30.0,Team Gävlarna Clio ,13.0,13.0,1:07.245,115'1,14:56.658,10:17:11.243,109.0,159.0,3.0,,3289056.0,0.0,,R1,No
134,27.0,B.E.T BMW 330,13.0,13.0,1:06.814,115'8,14:59.408,10:17:13.993,103.0,153.0,3.0,,7493526.0,0.0,,R1,No
135,4.0,SMK Racing Renault Clio,13.0,13.0,1:07.625,114'5,15:01.001,10:17:15.586,139.0,174.0,3.0,,7622978.0,0.0,,R1,No
136,99997.0,clio helvit N/N,13.0,13.0,1:07.033,115'5,15:19.671,10:17:34.256,130.0,167.0,3.0,,641641.0,0.0,,GT Open,No
137,6.0,SPEeD S60 Racing Team S60 Challange,13.0,13.0,1:06.931,115'6,15:20.469,10:17:35.054,87.0,144.0,3.0,,4800537.0,0.0,,R2,No
138,86.0,clio 86,13.0,13.0,1:07.338,114'9,15:23.451,10:17:38.036,136.0,163.0,3.0,,7722174.0,0.0,,GT Open,No
